Districts (adm2 level),Total population,men,women,urban_population,urban_population_men,urban_population_women,rural_population,rural_population_men,rural_population_women
Semei с.а.,"311,694","149,017","162,677","311,604","148,967","162,637",90,50,40
Кurchatov с.а.,"10,217","4,987","5,230","10,217","4,987","5,230",-,-,-
Abai district,"13,756","6,906","6,850",-,-,-,"13,756","6,906","6,850"
Aksuat district,"19,128","9,826","9,302",-,-,-,"19,128","9,826","9,302"
Ayagoz distict,"64,968","32,699","32,269","41,820","20,717","21,103","23,148","11,982","11,166"
Beskaragay district,"17,457","8,717","8,740",-,-,-,"17,457","8,717","8,740"
Borodulikha district,"32,379","15,918","16,461",-,-,-,"32,379","15,918","16,461"
Zhanasemey district,"19,936","10,105","9,831","3,258","1,453","1,805","16,678","8,652","8,026"
Zharma district,"35,085","17,692","17,393","6,240","3,126","3,114","28,845","14,566","14,279"
Kokpekti district,"13,250","6,768","6,482",-,-,-,"13,250","6,768","6,482"
Makanchi district,"25,988","13,162","12,826",-,-,-,"25,988","13,162","12,826"
Urzhar district,"42,014","21,212","20,802",-,-,-,"42,014","21,212","20,802"
Kokshetau city,"194,728","92,562","102,166","180,792","85,764","95,028","13,936","6,798","7,138"
Kosshy city,"58,126","26,793","31,333","57,448","26,449","30,999",678,344,334
Stepnogorsk c.а,"67,309","32,498","34,811","64,475","31,009","33,466","2,834","1,489","1,345"
Akkol district,"23,373","11,750","11,623","15,454","7,639","7,815","7,919","4,111","3,808"
Arshaly district,"25,331","13,169","12,162",-,-,-,"25,331","13,169","12,162"
Astrakhan district,"19,172","9,607","9,565",-,-,-,"19,172","9,607","9,565"
Atbasar district,"42,251","21,281","20,970","30,407","15,158","15,249","11,844","6,123","5,721"
Bulandy district,"28,877","14,291","14,586","18,136","8,734","9,402","10,741","5,557","5,184"
Egindikol district,"5,092","2,621","2,471",-,-,-,"5,092","2,621","2,471"
Birzhan Sal district,"12,815","6,443","6,372","4,090","1,960","2,130","8,725","4,483","4,242"
Ereymentau district,"25,240","12,857","12,383","12,127","5,969","6,158","13,113","6,888","6,225"
Esil district,"20,135","9,835","10,300","11,132","5,319","5,813","9,003","4,516","4,487"
Zhaksy district,"15,574","7,876","7,698",-,-,-,"15,574","7,876","7,698"
Zharkain district,"12,218","6,147","6,071","6,800","3,297","3,503","5,418","2,850","2,568"
Zerendi district,"34,196","17,552","16,644",-,-,-,"34,196","17,552","16,644"
Korgalzhyn district,"6,889","3,622","3,267",-,-,-,"6,889","3,622","3,267"
Sandyktau district,"16,651","8,183","8,468",-,-,-,"16,651","8,183","8,468"
Tselinograd district,"83,398","42,257","41,141",-,-,-,"83,398","42,257","41,141"
Shortandy district,"26,894","13,498","13,396",-,-,-,"26,894","13,498","13,396"
Burabay district,"70,752","34,274","36,478","47,570","22,797","24,773","23,182","11,477","11,705"
Aktobe city,"576,517","276,956","299,561","576,517","276,956","299,561",-,-,-
Alga district,"43,794","21,935","21,859","22,799","11,102","11,697","20,995","10,833","10,162"
Aiteke bi district,"20,482","10,634","9,848",-,-,-,"20,482","10,634","9,848"
Bayganin district,"22,949","11,830","11,119",-,-,-,"22,949","11,830","11,119"
Kargaly district,"15,304","7,691","7,613",-,-,-,"15,304","7,691","7,613"
Kobda district,"15,876","8,191","7,685",-,-,-,"15,876","8,191","7,685"
Martuk district,"29,611","14,875","14,736",-,-,-,"29,611","14,875","14,736"
Mugalzhar district,"65,622","32,864","32,758","49,876","24,651","25,225","15,746","8,213","7,533"
Oiyl district,"15,926","8,347","7,579",-,-,-,"15,926","8,347","7,579"
Temir district,"35,574","18,245","17,329","2,202","1,148","1,054","33,372","17,097","16,275"
Khromtau district,"46,747","23,469","23,278","30,470","15,146","15,324","16,277","8,323","7,954"
Shalkar district,"42,313","21,503","20,810","27,968","14,062","13,906","14,345","7,441","6,904"
Yrgyz district,"13,895","7,231","6,664",-,-,-,"13,895","7,231","6,664"
